"","SRR20959676","SRR20959677","SRR20959678","SRR20959679","SRR20959680","SRR20959681","SRR20959682"
"SAOUHSC_00001",310,85,75,99,109,165,993
"SAOUHSC_00002",384,96,66,161,190,100,711
"SAOUHSC_00003",48,28,72,33,90,30,210
"SAOUHSC_00004",1608,1039,675,1068,2197,898,4327
"SAOUHSC_00005",3512,1219,2047,1232,2639,1616,8848
"SAOUHSC_00006",5977,1511,1277,2354,4077,2406,7550
"SAOUHSC_00007",96,33,42,67,22,33,150
"SAOUHSC_00008",241,26,58,314,124,80,331
"SAOUHSC_00009",1862,122,196,378,976,172,621
"SAOUHSC_00010",38,0,20,14,64,119,176
"SAOUHSC_00012",7,2,36,4,46,153,143
"SAOUHSC_00013",126,22,4,34,44,144,81
"SAOUHSC_00014",187,35,92,90,110,112,199
"SAOUHSC_00015",831,176,739,631,658,402,1406
"SAOUHSC_00017",146,91,184,90,97,42,437
"SAOUHSC_00018",1668,280,690,742,1283,588,3694
"SAOUHSC_00019",75,8,215,42,22,106,556
"SAOUHSC_T00018",6,0,0,0,4,0,0
"SAOUHSC_T00011",3,0,0,0,4,0,0
"SAOUHSC_00020",92,367,188,256,770,340,2091
"SAOUHSC_00021",1783,638,1038,2740,1983,1352,5579
"SAOUHSC_00022",2015,1672,2335,3872,2794,1818,7877
"SAOUHSC_00023",938,551,923,800,1044,1108,3696
"SAOUHSC_00024",118,28,34,10,19,0,63
"SAOUHSC_00025",95,6,36,16,20,13,34
"SAOUHSC_00026",2,1,0,1,4,12,2
"SAOUHSC_00027",2,2,0,7,8,23,1
"SAOUHSC_00028",0,0,0,0,0,0,0
"SAOUHSC_00029",0,0,0,0,0,0,0
"SAOUHSC_00030",1,6,17,6,14,2,10
"SAOUHSC_00031",22,9,0,0,12,0,0
"SAOUHSC_00032",0,0,0,0,1,0,0
"SAOUHSC_00033",8,36,12,7,47,0,27
"SAOUHSC_00034",3,18,0,3,23,0,7
"SAOUHSC_00035",39,40,8,14,62,0,19
"SAOUHSC_00036",314,280,5,93,720,7,107
"SAOUHSC_00037",320,219,0,133,459,1,138
"SAOUHSC_00038",0,3,0,1,1,0,1
"SAOUHSC_00039",27,35,20,26,43,15,31
"SAOUHSC_00040",4,2,0,0,0,0,0
"SAOUHSC_00041",0,0,0,0,0,4,0
"SAOUHSC_00042",3,0,1,2,1,0,11
"SAOUHSC_00043",0,0,12,0,1,0,2
"SAOUHSC_00044",0,0,10,0,0,2,1
"SAOUHSC_00045",0,0,0,0,0,2,0
"SAOUHSC_00046",0,0,0,0,1,0,0
"SAOUHSC_00047",2,22,24,16,34,10,0
"SAOUHSC_00049",4,5,6,5,12,0,2
"SAOUHSC_00050",0,0,0,1,1,0,0
"SAOUHSC_00051",2,1,0,0,1,0,0
"SAOUHSC_00052",0,0,11,0,0,0,1
"SAOUHSC_00053",0,0,2,0,0,0,0
"SAOUHSC_00054",0,0,0,0,0,0,0
"SAOUHSC_00055",0,4,1,9,2,7,2
"SAOUHSC_00056",110,46,34,72,96,117,170
"SAOUHSC_00057",122,2,0,96,110,42,39
"SAOUHSC_00058",228,36,45,334,220,132,51
"SAOUHSC_00060",475,71,274,277,287,300,1930
"SAOUHSC_00061",563,33,192,531,182,45,94
"SAOUHSC_00062",0,0,0,2,0,0,1
"SAOUHSC_00064",1,1,0,2,3,3,1
"SAOUHSC_00065",2,0,21,7,26,13,1
"SAOUHSC_00067",103,18,51,96,66,36,338
"SAOUHSC_00069",155,30,285,4,40,54,663
"SAOUHSC_00070",22,4,113,7,12,6,19
"SAOUHSC_00071",39,9,10,11,8,4,44
"SAOUHSC_00072",12,4,2,27,9,10,48
"SAOUHSC_00074",2,2,8,1,12,8,6
"SAOUHSC_00075",1,0,0,0,0,1,4
"SAOUHSC_00076",4,0,0,1,3,3,8
"SAOUHSC_00077",15,0,6,14,6,12,46
"SAOUHSC_00078",28,0,36,19,9,2,35
"SAOUHSC_00079",5,0,19,22,4,9,75
