# Program:featureCounts v2.0.6; Command:"featureCounts" "-p" "-B" "-C" "-O" "-t" "gene" "-g" "locus_tag" "-a" "reference/S_aureus.gff" "-o" "counts/count.txt" "IGV/SRR20959676_GSM6435908_C-PJI04_Staphylococcus_aureus_RNA-Seq_sorted.bam" "IGV/SRR20959677_GSM6435907_C-PJI03_Staphylococcus_aureus_RNA-Seq_sorted.bam" "IGV/SRR20959678_GSM6435906_C-PJI02_Staphylococcus_aureus_RNA-Seq_sorted.bam" "IGV/SRR20959679_GSM6435905_C-PJI01_Staphylococcus_aureus_RNA-Seq_sorted.bam" "IGV/SRR20959680_GSM6435904_A-PJI04_Staphylococcus_aureus_RNA-Seq_sorted.bam" "IGV/SRR20959681_GSM6435903_A-PJI03_Staphylococcus_aureus_RNA-Seq_sorted.bam" "IGV/SRR20959682_GSM6435902_A-PJI02_Staphylococcus_aureus_RNA-Seq_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	IGV/SRR20959676_GSM6435908_C-PJI04_Staphylococcus_aureus_RNA-Seq_sorted.bam	IGV/SRR20959677_GSM6435907_C-PJI03_Staphylococcus_aureus_RNA-Seq_sorted.bam	IGV/SRR20959678_GSM6435906_C-PJI02_Staphylococcus_aureus_RNA-Seq_sorted.bam	IGV/SRR20959679_GSM6435905_C-PJI01_Staphylococcus_aureus_RNA-Seq_sorted.bam	IGV/SRR20959680_GSM6435904_A-PJI04_Staphylococcus_aureus_RNA-Seq_sorted.bam	IGV/SRR20959681_GSM6435903_A-PJI03_Staphylococcus_aureus_RNA-Seq_sorted.bam	IGV/SRR20959682_GSM6435902_A-PJI02_Staphylococcus_aureus_RNA-Seq_sorted.bam
SAOUHSC_00001	NC_007795.1	517	1878	+	1362	310	85	75	99	109	165	993
SAOUHSC_00002	NC_007795.1	2156	3289	+	1134	384	96	66	161	190	100	711
SAOUHSC_00003	NC_007795.1	3670	3915	+	246	48	28	72	33	90	30	210
SAOUHSC_00004	NC_007795.1	3912	5024	+	1113	1608	1039	675	1068	2197	898	4327
SAOUHSC_00005	NC_007795.1	5034	6968	+	1935	3512	1219	2047	1232	2639	1616	8848
SAOUHSC_00006	NC_007795.1	7005	9668	+	2664	5977	1511	1277	2354	4077	2406	7550
SAOUHSC_00007	NC_007795.1	9755	10456	-	702	96	33	42	67	22	33	150
SAOUHSC_00008	NC_007795.1	10893	12407	+	1515	241	26	58	314	124	80	331
SAOUHSC_00009	NC_007795.1	12786	14072	+	1287	1862	122	196	378	976	172	621
SAOUHSC_00010	NC_007795.1	14722	15417	+	696	38	0	20	14	64	119	176
SAOUHSC_00012	NC_007795.1	15414	15743	+	330	7	2	36	4	46	153	143
SAOUHSC_00013	NC_007795.1	16106	17074	+	969	126	22	4	34	44	144	81
SAOUHSC_00014	NC_007795.1	17365	18303	+	939	187	35	92	90	110	112	199
SAOUHSC_00015	NC_007795.1	18318	20285	+	1968	831	176	739	631	658	402	1406
SAOUHSC_00017	NC_007795.1	20282	20734	+	453	146	91	184	90	97	42	437
SAOUHSC_00018	NC_007795.1	20766	22166	+	1401	1668	280	690	742	1283	588	3694
SAOUHSC_00019	NC_007795.1	22444	23727	+	1284	75	8	215	42	22	106	556
SAOUHSC_T00018	NC_007795.1	24157	24231	+	75	6	0	0	0	4	0	0
SAOUHSC_T00011	NC_007795.1	24239	24311	+	73	3	0	0	0	4	0	0
SAOUHSC_00020	NC_007795.1	24931	25632	+	702	92	367	188	256	770	340	2091
SAOUHSC_00021	NC_007795.1	25645	27471	+	1827	1783	638	1038	2740	1983	1352	5579
SAOUHSC_00022	NC_007795.1	27515	28798	+	1284	2015	1672	2335	3872	2794	1818	7877
SAOUHSC_00023	NC_007795.1	28799	29587	+	789	938	551	923	800	1044	1108	3696
SAOUHSC_00024	NC_007795.1	29977	30777	+	801	118	28	34	10	19	0	63
SAOUHSC_00025	NC_007795.1	31005	33323	+	2319	95	6	36	16	20	13	34
SAOUHSC_00026	NC_007795.1	33555	34034	-	480	2	1	0	1	4	12	2
SAOUHSC_00027	NC_007795.1	33691	34170	+	480	2	2	0	7	8	23	1
SAOUHSC_00028	NC_007795.1	34375	34509	-	135	0	0	0	0	0	0	0
SAOUHSC_00029	NC_007795.1	34473	34565	+	93	0	0	0	0	0	0	0
SAOUHSC_00030	NC_007795.1	34712	36457	+	1746	1	6	17	6	14	2	10
SAOUHSC_00031	NC_007795.1	36551	37003	-	453	22	9	0	0	12	0	0
SAOUHSC_00032	NC_007795.1	37019	37120	-	102	0	0	0	0	1	0	0
SAOUHSC_00033	NC_007795.1	37218	37973	-	756	8	36	12	7	47	0	27
SAOUHSC_00034	NC_007795.1	37973	38233	-	261	3	18	0	3	23	0	7
SAOUHSC_00035	NC_007795.1	38370	39437	+	1068	39	40	8	14	62	0	19
SAOUHSC_00036	NC_007795.1	39468	40802	+	1335	314	280	5	93	720	7	107
SAOUHSC_00037	NC_007795.1	40821	42014	+	1194	320	219	0	133	459	1	138
SAOUHSC_00038	NC_007795.1	42281	42382	-	102	0	3	0	1	1	0	1
SAOUHSC_00039	NC_007795.1	42681	43613	-	933	27	35	20	26	43	15	31
SAOUHSC_00040	NC_007795.1	43976	44179	+	204	4	2	0	0	0	0	0
SAOUHSC_00041	NC_007795.1	44228	44524	+	297	0	0	0	0	0	4	0
SAOUHSC_00042	NC_007795.1	44596	45816	-	1221	3	0	1	2	1	0	11
SAOUHSC_00043	NC_007795.1	45809	46360	-	552	0	0	12	0	1	0	2
SAOUHSC_00044	NC_007795.1	46473	47333	+	861	0	0	10	0	0	2	1
SAOUHSC_00045	NC_007795.1	47689	48222	-	534	0	0	0	0	0	2	0
SAOUHSC_00046	NC_007795.1	48313	49056	+	744	0	0	0	0	1	0	0
SAOUHSC_00047	NC_007795.1	49490	50092	+	603	2	22	24	16	34	10	0
SAOUHSC_00049	NC_007795.1	50359	53511	+	3153	4	5	6	5	12	0	2
SAOUHSC_00050	NC_007795.1	53568	54050	+	483	0	0	0	1	1	0	0
SAOUHSC_00051	NC_007795.1	54255	55241	+	987	2	1	0	0	1	0	0
SAOUHSC_00052	NC_007795.1	55462	56232	+	771	0	0	11	0	0	0	1
SAOUHSC_00053	NC_007795.1	56284	57054	+	771	0	0	2	0	0	0	0
SAOUHSC_00054	NC_007795.1	57118	57888	+	771	0	0	0	0	0	0	0
SAOUHSC_00055	NC_007795.1	57955	58722	+	768	0	4	1	9	2	7	2
